# T30 (task 18-E3) balanced-RPS deletion ledger; diff base: 9846077d9
# The tiered runners (bench_families.rs) and the T28 report contracts replace the
# capacity/qualification/report apparatus and the balanced-RPS runner machinery.
# scripts/checks/bifrost-bench-registration.sh consumes this ledger and asserts
# every name below is absent from the tree (excluding .dev/plan history, this
# ledger, and the checker itself). Word-boundary fixed-string match, so retained
# names such as BifrostCapacityStage never collide with deleted CapacityStage.
# kind	name	file	replacement or none
bin	bifrost_compare	crates/shared/wyrd-bench/src/bin/bifrost_compare.rs	none
bench-target	bench_bifrost_cluster	crates/wyrd/wyrd-testing/benches/bench_bifrost_cluster.rs	bench_bifrost_scribe + bench_bifrost_oracle tiered runners
fn	parse_cluster_benchmark_args	crates/wyrd/wyrd-testing/src/bifrost/bench_cluster.rs	RunnerInvocation::parse (bench_runner.rs)
type	ClusterBenchmarkCommand	crates/wyrd/wyrd-testing/src/bifrost/bench_cluster.rs	RunnerInvocation (bench_runner.rs)
fn	run_capacity	crates/wyrd/wyrd-testing/src/bifrost/bench_cluster.rs	run_family qualification tier (bench_families.rs)
fn	run_qualification	crates/wyrd/wyrd-testing/src/bifrost/bench_cluster.rs	run_family qualification tier (bench_families.rs)
fn	run_reference_trial	crates/wyrd/wyrd-testing/src/bifrost/bench_cluster.rs	run_family family runners (bench_families.rs)
fn	run_live_trial	crates/wyrd/wyrd-testing/src/bifrost/bench_cluster.rs	run_three_server_live_trial (journey helper)
fn	run_qualification_pair	crates/wyrd/wyrd-testing/src/bifrost/bench_cluster.rs	none
type	CapacityScenarioSession	crates/wyrd/wyrd-testing/src/bifrost/bench_cluster.rs	none
fn	reference_scenario_matrix	crates/wyrd/wyrd-testing/src/bifrost/bench_cluster.rs	three_server_reference_trial (journey helper)
type	ReviewedScenarioProfile	crates/shared/wyrd-bench/src/cluster.rs	none
type	BifrostReferenceProfile	crates/shared/wyrd-bench/src/cluster.rs	none
type	BifrostDiagnosticReport	crates/shared/wyrd-bench/src/cluster.rs	none
type	DiagnosticStatus	crates/shared/wyrd-bench/src/cluster.rs	none
type	AttemptedProbe	crates/shared/wyrd-bench/src/cluster.rs	none
fn	validate_report_matrix	crates/shared/wyrd-bench/src/cluster.rs	none
fn	fixed_scenarios	crates/shared/wyrd-bench/src/cluster.rs	workload-profiles.json fixture ladders
fn	validate_fixed_scenario	crates/shared/wyrd-bench/src/cluster.rs	none
type	ProfileCompatibility	crates/shared/wyrd-bench/src/cluster.rs	none
type	MetricRegression	crates/shared/wyrd-bench/src/cluster.rs	none
type	BifrostBenchmarkComparison	crates/shared/wyrd-bench/src/cluster.rs	none
fn	compare_cluster_profiles	crates/shared/wyrd-bench/src/cluster.rs	none
fn	compare_scenario_metrics	crates/shared/wyrd-bench/src/cluster.rs	none
fn	evaluate_scaling	crates/shared/wyrd-bench/src/cluster.rs	DistributedBody::validate (bench_report.rs)
